track,frame_idx,instance.score,nose.x,nose.y
,139,7.576195717,81.99287415,124.0210342
,140,7.606974602,91.99588013,130.0219116
,141,7.758552551,105.9546967,123.9815369
,142,8.001893997,110.0128174,106.0112991
,143,7.907978058,110.0236435,89.9879837
,144,7.605790615,117.982193,84.00741577
,145,7.481697083,122.023735,82.00198364
,146,7.836361885,113.9947662,62.00018692
,147,7.818089962,112.0112228,64.00273895
,148,7.738530636,131.975296,58.02916718
,149,7.951869011,139.9940491,56.00539017
,150,7.843047142,126.0166092,50.00483322
,151,7.818596363,133.9890747,36.00992584
,152,7.513603687,170.0154877,55.98638153
,153,7.395760059,178.0046234,56.01667786
,154,7.578607082,187.9886169,48.00356293
,155,7.74986124,203.9952545,52.00362396
,156,7.47215414,209.999115,47.9911499
,157,7.780955791,229.997467,66.01337433
,158,7.47173357,247.9831696,83.97881317
,159,7.955849648,270.0000916,92.00437164
,160,8.233613014,291.982605,96.01005554
,161,7.689203739,313.9818115,98.01198578
,162,7.778388023,336.0190735,98.01855469
,163,7.927858829,363.982666,100.0092545
,164,8.008794785,393.9608765,103.9947128
,165,7.789308071,414.0284424,102.0003281
,166,8.142571449,436.0145569,102.0344086
,167,7.441082001,456.0209656,103.9854279
,168,7.51765728,475.9997253,104.0183029
,169,7.522717953,475.9981689,104.0186996
,170,7.913822174,512.0056152,112.0016708
,171,8.349862099,525.9912109,123.9985352
,172,7.80364418,536.0073853,138.0174866
,173,8.583357811,545.9814453,157.9848022
,174,8.669865608,548.0206909,169.9826202
,175,8.452030182,559.9903564,165.9954834
,176,7.941783428,569.9884033,162.0046234
,177,7.883899689,569.9936523,162.0024414
,178,8.223203659,571.9989014,161.9782867
,179,8.200362206,581.9957886,164.0116882
,180,8.100545883,582.0074463,167.9841766
,181,8.161510468,572.0025635,182.0272217
,182,8.552944183,565.9970703,218.009613
,183,8.75993824,570.0239868,230.0020447
,184,8.858013153,579.9972534,239.9992523
,185,8.854615211,579.9973755,239.9991608
,186,8.887810707,585.9993286,247.9753723
,187,8.097168922,602.001709,246.0185242
,188,8.745387077,608.0065918,249.9823914
,189,8.719789505,625.9970703,249.9739838
,190,7.869292259,646.0126343,251.9917908
,191,7.659737587,661.9793701,245.9755554
,192,8.011411667,673.9729004,262.0317078
,193,8.157539368,681.9937134,266.0096741
,194,8.15155983,693.9906616,268.0141296
,195,8.356420517,693.9940186,279.9992676
,196,8.482851982,705.9949951,282.0159607
,197,8.366550446,719.9871826,278.0003967
,198,7.38118124,726.0101318,279.97052
,199,7.106829166,733.9912109,276.0042419
,200,7.004411221,733.9970703,278.0160217
,201,7.530287743,,
,202,7.864425659,737.9949341,279.9503479
,203,7.681036949,738.0078125,279.9608154
,204,7.733638763,,
,205,7.691832542,,
,206,7.749637127,,
,207,7.745511055,,
,208,7.719918251,,
,209,7.729879856,,
,210,7.741400242,,
,211,7.769032001,,
,212,7.753401279,,
,213,7.770014763,,
,214,7.822905064,,
,215,7.746246815,,
,216,7.748620987,,
,217,7.719624996,,
,218,7.744525433,,
,219,7.742801189,,
,220,7.769065857,,
,221,7.679145813,,
,222,7.717932701,,
,223,7.627884388,,
,224,7.659061432,,
,225,7.952207088,729.9995728,278.0061951
,226,8.274827003,725.9825439,275.9992371
,227,8.277357101,720.0213013,275.9994507
,228,8.315835953,714.008606,273.9875488
,229,8.166073799,714.0448608,273.9846191
,230,7.229375839,716.0268555,257.9941101
,231,7.161171436,713.9891357,257.9949951
,232,7.175089359,714.0159912,257.9906006
,233,7.004047394,716.03302,257.9866028
,234,7.712625027,730.0054932,210.0142822
,235,7.436023235,733.9614868,201.9896698
,236,7.02639389,734.0169067,202.0136566
,237,6.808073997,737.9682617,198.0355072
,238,6.334030151,,
,239,6.262246609,745.9586182,231.9608917
,240,6.524960995,,
,241,6.767326355,745.9998169,234.0191803
,242,7.216114998,745.9977417,247.9983521
,243,6.756801128,745.9851685,256.0319519
,244,6.109819412,,
,245,6.170198917,,
,246,6.372091293,,
,247,7.056032181,,
,248,6.967503548,,
,249,6.816350937,,
,250,7.297130108,,
,251,7.192464352,,
,252,7.337424755,736.0280762,277.9665527
,253,7.38776207,736.0224609,278.013031
,254,7.527018547,737.9714966,283.9467468
,255,7.493671417,735.9645996,282.0095825
,256,7.540290356,735.9800415,280.0531616
,257,7.183378696,,
,258,7.123573303,,
,259,7.666283607,,
,260,7.648042202,,
,261,7.683268547,,
,262,7.780633926,,
,263,7.759556293,,
,264,7.764789581,,
,265,7.796472549,,
,266,7.811134338,,
,267,7.767811298,,
,268,7.732732296,,
,269,7.700936317,,
,270,7.780832291,,
,271,7.797964096,,
,272,7.782544136,,
,273,7.815077782,,
,274,7.77025032,,
,275,7.786844254,,
,276,7.782459259,,
,277,7.788785458,,
,278,7.751912594,,
,279,7.757726192,,
,280,7.761956692,,
,281,7.792135715,,
,282,7.792534351,,
,283,7.779803276,,
,284,7.780367851,,
,285,7.767368317,,
,286,7.772770882,,
,287,7.767732143,,
,288,7.759195328,,
,289,7.769746304,,
,290,7.76522398,,
,291,7.714289188,,
,292,7.688726902,,
,293,7.657080173,,
,294,7.830715656,739.9835205,274.0259705
,295,7.776960373,739.9325562,274.0314026
,296,7.751492977,739.9453125,272.0401917
,297,7.745744705,,
,298,7.738031387,,
,299,7.762275696,732.0233154,287.9890442
